low_thresh,TP,FP,FN,TN,precision,recall,f1,accuracy,fpr,fnr
0.05,304,753,1,366,0.2876064333017975,0.9967213114754099,0.4464023494860499,0.4705056179775281,0.6729222520107239,0.003278688524590164
0.1,302,561,3,558,0.3499420625724218,0.9901639344262295,0.517123287671233,0.6039325842696629,0.5013404825737265,0.009836065573770493
0.15,298,453,7,666,0.3968042609853529,0.9770491803278688,0.5643939393939393,0.6769662921348315,0.40482573726541554,0.022950819672131147
0.2,296,389,9,730,0.4321167883211679,0.9704918032786886,0.597979797979798,0.7205056179775281,0.34763181411974975,0.029508196721311476
0.25,290,341,15,778,0.4595879556259905,0.9508196721311475,0.6196581196581196,0.75,0.30473637176050045,0.04918032786885246
0.3,286,289,19,830,0.4973913043478261,0.9377049180327869,0.6499999999999999,0.7837078651685393,0.258266309204647,0.06229508196721312
0.35,280,262,25,857,0.5166051660516605,0.9180327868852459,0.6611570247933884,0.7984550561797753,0.23413762287756926,0.08196721311475409
0.4,276,236,29,883,0.5390625,0.9049180327868852,0.6756425948592412,0.8139044943820225,0.21090259159964253,0.09508196721311475
0.45,269,206,36,913,0.5663157894736842,0.8819672131147541,0.6897435897435897,0.8300561797752809,0.1840929401251117,0.1180327868852459
0.5,258,181,47,938,0.5876993166287016,0.8459016393442623,0.6935483870967741,0.8398876404494382,0.16175156389633602,0.1540983606557377
0.55,247,158,58,961,0.6098765432098765,0.8098360655737705,0.6957746478873238,0.848314606741573,0.14119749776586238,0.1901639344262295
0.6,237,136,68,983,0.6353887399463807,0.7770491803278688,0.6991150442477876,0.8567415730337079,0.12153708668453976,0.22295081967213115
0.65,218,115,87,1004,0.6546546546546547,0.7147540983606557,0.683385579937304,0.8581460674157303,0.10277033065236818,0.28524590163934427
0.7,192,94,113,1025,0.6713286713286714,0.6295081967213115,0.6497461928934011,0.8546348314606742,0.0840035746201966,0.3704918032786885
0.75,168,74,137,1045,0.6942148760330579,0.5508196721311476,0.6142595978062158,0.8518258426966292,0.06613047363717604,0.4491803278688525
0.8,142,48,163,1071,0.7473684210526316,0.46557377049180326,0.5737373737373737,0.8518258426966292,0.04289544235924933,0.5344262295081967
0.85,115,26,190,1093,0.8156028368794326,0.3770491803278688,0.515695067264574,0.848314606741573,0.02323503127792672,0.6229508196721312
0.9,83,15,222,1104,0.8469387755102041,0.2721311475409836,0.4119106699751861,0.8335674157303371,0.013404825737265416,0.7278688524590164
0.95,48,4,257,1115,0.9230769230769231,0.15737704918032788,0.26890756302521013,0.8167134831460674,0.0035746201966041107,0.8426229508196721
